8,67,734,94,1,25,11.625,27.375,3.79166666667,0
0,7,506,77,1,25,4.75,10.6875,20.3958333333,0
0,7,299,162,2,7,1.6875,3.8125,8.95833333333,0
11,15,1156,97,3,22,5.3125,9.0625,13.1666666667,0
2,6,741,193,2,2,0.875,8.0,18.2083333333,0
3,12,10,118,2,10,6.4375,3.5625,13.2708333333,0
21,1,710,99,3,0,4.0625,4.875,12.8541666667,0
4,26,151,147,4,88,23.5625,51.0625,125.083333333,0
8,4,1010,110,2,15,7.0,6.4375,9.41666666667,0
16,24,177,142,2,3,2.375,8.375,15.9375,0
2,27,1503,100,0,24,3.125,0.8125,0.291666666667,0
6,10,1005,210,4,15,17.5625,15.4375,39.6875,0
2,9,105,92,2,2,1.625,1.1875,3.22916666667,0
2,58,1712,110,2,9,23.8125,11.125,44.7291666667,0
13,3,623,202,0,21,2.125,5.3125,5.0,0
14,13,1717,136,1,22,10.8125,9.6875,24.5208333333,0
4,2,374,207,2,55,6.625,5.375,17.3958333333,0
2,24,884,104,4,23,13.1875,7.8125,18.3541666667,0
29,4,903,135,3,19,22.4375,17.125,46.4375,0
1,2,829,224,1,1,1.25,1.3125,14.0833333333,0
3,10,128,192,2,4,1.5,6.1875,14.8958333333,0
8,47,1183,96,1,2,1.75,4.4375,14.125,0
1,8,29,174,4,4,2.0625,1.0625,9.54166666667,0
4,24,619,127,3,0,3.4375,3.25,7.89583333333,0
9,17,3974,140,2,90,23.5,35.1875,60.5208333333,0
6,19,236,134,0,2,0.3125,6.75,13.0625,0
1,2,144,227,2,5,5.625,0.6875,7.04166666667,0
9,13,1361,105,0,41,7.0,7.375,9.02083333333,0
4,1,1238,242,2,1,8.0625,3.375,27.5,0
7,43,950,160,2,25,15.25,4.8125,12.7916666667,0
7,1,2807,255,1,1,0.5,7.6875,1.3125,0
7,11,1268,105,0,39,5.0625,7.25,4.8125,0
4,34,1109,192,4,82,5.0,1.375,5.72916666667,0
9,8,1598,97,4,17,16.75,15.125,37.6875,0
6,6,151,144,3,10,3.9375,10.9375,44.3333333333,0
110,7,4306,200,2,54,2.875,1.1875,27.1875,0
1,8,465,232,2,10,1.875,6.0625,19.3333333333,0
4,3,13,189,1,74,25.75,6.3125,59.8125,0
1,5,77,104,4,4,0.125,1.6875,1.5,0
1,5,1079,107,4,2,0.6875,1.125,1.375,0
2,0,35,127,3,29,9.625,8.25,17.7083333333,0
1,44,690,97,0,4,2.4375,3.3125,12.0833333333,0
8,10,638,230,0,14,20.8125,9.5,33.8958333333,0
7,5,1113,109,0,6,5.25,4.5625,10.2708333333,0
30,2,211,170,1,23,17.8125,12.0,24.8958333333,0
18,69,4496,115,1,10,18.75,13.6875,41.9791666667,0
32,3,3540,160,1,41,29.9375,21.375,52.8333333333,0
11,29,1692,103,0,83,16.375,26.5,48.6875,0
7,2,1204,190,4,40,5.5625,21.75,12.25,0
1,7,141,172,0,27,6.625,1.8125,20.25,0
26,5,815,212,0,109,4.4375,1.0,16.4791666667,0
0,33,67,31,1,0,0.5,6.3125,12.5,0
3,9,233,154,4,55,21.0625,18.875,73.125,0
1,0,318,147,0,5,11.125,8.1875,21.7708333333,0
21,15,1163,178,0,41,11.8125,11.5,23.6041666667,0
5,18,255,191,2,20,4.5625,1.3125,10.5,0
9,0,150,137,3,8,6.625,17.5,43.8958333333,0
86,35,4079,194,2,24,5.1875,6.3125,29.3541666667,0
22,42,2799,138,1,36,3.8125,2.4375,30.6875,0
3,8,571,81,0,1,0.5,0.125,3.10416666667,0
6,7,171,159,4,18,2.8125,3.875,6.625,0
3,1,564,185,0,78,38.25,13.375,90.7083333333,0
3,14,104,115,4,21,0.25,5.0,14.5208333333,0
1,3,60,86,2,20,3.1875,4.0,12.8541666667,0
0,26,50,35,4,3,0.1875,4.625,7.375,0
19,43,4456,121,2,35,19.6875,17.8125,48.4375,0
1,15,271,82,4,44,6.6875,10.4375,28.1875,0
12,39,4030,170,3,14,4.6875,12.3125,2.79166666667,0
0,68,451,174,3,30,8.8125,10.1875,34.1666666667,0
0,7,374,90,2,12,2.4375,9.5,30.0208333333,0
1,23,1168,147,2,38,1.375,1.8125,1.66666666667,0
17,14,2652,191,2,17,6.8125,22.875,7.85416666667,0
0,36,1082,96,1,18,5.1875,6.125,27.125,0
19,25,3743,123,1,14,14.0625,25.8125,41.2916666667,0
13,86,4007,110,2,32,29.125,23.625,91.9583333333,0
22,3,872,127,2,30,2.1875,9.1875,21.8541666667,0
0,20,432,84,0,11,0.375,0.4375,2.89583333333,0
0,11,892,88,1,27,20.8125,7.3125,36.375,0
9,39,2952,150,3,19,12.0625,26.5,15.2916666667,0
3,3,774,190,2,108,44.5625,1.6875,122.145833333,0
36,22,4174,203,3,124,27.5625,43.125,91.6458333333,0
44,6,2014,193,2,74,44.4375,39.375,83.6041666667,0
12,65,4005,128,0,22,50.6875,42.0,109.291666667,0
1,5,530,92,3,70,13.125,0.0625,42.5416666667,0
6,20,898,175,1,102,21.0,42.75,92.0416666667,0
22,97,1702,194,3,59,5.3125,13.875,70.0208333333,0
4,1,560,253,2,92,0.8125,6.5625,47.2916666667,0
4,3,2990,138,1,6,12.5,8.625,12.7708333333,0
20,31,170,233,2,47,8.375,27.75,35.0,0
2,15,100,70,1,15,3.6875,0.125,1.97916666667,0
3,20,1461,211,1,7,1.375,1.5625,12.2083333333,0
17,12,232,75,0,0,4.9375,11.5,24.6875,0
6,15,988,219,0,15,4.25,1.5625,24.6041666667,0
9,3,704,83,0,2,9.0625,2.5625,9.95833333333,0
3,7,710,219,0,3,1.9375,1.25,20.1666666667,0
3,49,595,167,1,12,8.75,11.125,18.1666666667,0
1,9,851,219,4,1,19.125,15.6875,36.6666666667,0
14,30,2027,85,1,24,7.8125,4.5625,17.0416666667,0
5,20,427,62,3,3,0.1875,1.75,8.0625,0
1,45,831,121,1,3,6.0,4.0,0.708333333333,0
11,18,133,246,3,147,64.75,57.3125,161.833333333,0
30,29,1967,129,0,18,3.5625,9.0,6.0625,0
36,12,2882,201,4,46,11.125,6.8125,20.3958333333,0
6,1,359,244,0,35,35.0,27.3125,90.0208333333,0
4,79,1485,104,4,31,17.25,1.375,13.9166666667,0
9,7,199,205,4,8,0.1875,4.625,20.125,0
30,32,1535,130,1,5,2.75,8.3125,4.52083333333,0
33,21,2219,202,3,46,5.75,6.0,4.20833333333,0
13,17,468,46,4,6,4.0625,10.6875,26.8958333333,0
5,8,381,61,2,1,0.0,2.75,13.75,0
27,31,2825,153,4,53,8.875,18.5625,51.8541666667,0
90,3,5339,133,1,12,21.25,10.375,10.25,0
5,8,470,78,4,13,4.6875,4.3125,2.02083333333,0
33,92,4515,109,3,83,43.25,24.9375,75.1458333333,0
18,4,504,207,1,19,18.25,17.6875,12.5833333333,0
23,7,403,217,4,21,9.625,6.5,33.6666666667,0
9,5,627,215,1,22,17.0625,24.5,58.9166666667,0
2,6,355,218,3,7,1.75,27.875,37.0416666667,0
45,18,2984,191,0,7,2.875,24.0625,9.85416666667,0
1,3,350,109,4,1,1.6875,2.5625,4.5625,0
53,37,9245,167,2,60,40.5,19.4375,61.4166666667,0
19,4,291,246,3,22,9.125,3.25,10.875,0
23,33,2141,78,4,19,5.1875,0.375,0.145833333333,0
6,1,526,250,3,60,13.5,2.0,10.6875,0
2,40,834,81,4,5,5.625,0.5,14.9375,0
4,1,516,227,4,15,27.8125,29.6875,12.6666666667,0
7,0,70,232,0,4,13.375,10.75,3.8125,0
53,4,737,227,4,11,0.625,16.6875,31.0833333333,0
21,1,1416,100,0,1,6.25,0.125,7.0625,0
5,45,1211,125,4,16,1.4375,8.25,17.9166666667,0
21,24,523,193,1,15,7.125,11.5625,36.2708333333,0
27,40,3789,186,0,13,13.125,0.8125,27.1875,0
69,47,3036,147,4,18,4.25,3.375,1.52083333333,0
8,5,325,116,0,4,1.0,0.6875,1.0,0
12,1,564,135,4,13,9.25,8.1875,21.4791666667,0
2,35,5532,176,0,117,60.375,62.5625,107.0625,0
3,41,6651,177,0,119,63.8125,69.0625,127.583333333,0
16,5,416,148,0,22,15.9375,0.8125,31.6041666667,0
33,8,82,153,1,27,5.25,3.0625,1.64583333333,0
73,21,1141,155,0,9,4.0625,1.0,11.6666666667,0
10,7,2858,172,0,47,25.4375,7.125,28.4166666667,0
6,119,4518,75,4,18,4.6875,8.75,45.625,0
30,4,2663,178,1,71,31.625,15.875,55.6666666667,0
21,50,2215,104,4,5,1.5625,9.1875,3.72916666667,0
9,5,2233,184,0,30,5.4375,1.75,13.625,0
5,107,4138,35,0,12,6.6875,6.1875,37.6666666667,0
92,15,4136,205,0,80,16.4375,6.0625,15.9375,0
2,45,565,198,3,46,14.6875,6.1875,20.0416666667,0
3,1,5639,211,4,101,29.125,49.5625,150.083333333,0
5,45,301,99,0,12,6.625,3.1875,8.41666666667,0
45,22,1576,178,3,61,16.5625,12.5,7.58333333333,0
45,14,5412,178,1,84,25.375,10.25,31.7083333333,0
126,15,5430,182,2,58,25.5,14.5,24.5,0
24,93,6184,197,3,112,53.5,56.9375,125.166666667,0
114,17,5219,184,2,51,32.6875,24.0,46.1458333333,0
148,5,7713,224,1,149,46.8125,47.125,123.354166667,0
34,21,3421,183,2,69,26.5,4.5625,24.7708333333,0
2,21,3058,134,2,12,6.125,2.9375,15.5625,0
24,6,729,228,4,19,20.9375,41.6875,100.5,0
162,12,7687,197,0,153,53.9375,38.875,97.875,0
6,8,1959,199,1,24,1.5,10.625,54.4375,0
23,12,1208,51,0,80,4.875,9.0625,7.3125,0
96,31,5017,151,0,16,16.4375,13.3125,28.7916666667,0
1,13,5535,191,0,13,9.1875,49.6875,38.0625,0
64,6,3961,172,3,54,31.25,18.6875,48.5416666667,0
16,3,899,205,4,15,6.0,1.5625,2.41666666667,0
111,25,5007,197,0,59,24.3125,3.4375,16.5208333333,0
7,9,742,222,1,10,3.6875,3.875,7.45833333333,0
4,5,109,238,4,11,4.3125,13.0,37.1875,0
3,10,40,237,2,15,16.125,5.625,24.5833333333,0
6,12,97,230,0,3,1.0625,3.8125,47.75,0
125,7,9362,219,2,153,50.0,26.75,79.6875,0
8,29,622,102,0,34,11.875,3.0625,38.8541666667,0
4,36,131,39,0,5,0.5625,0.4375,3.375,0
14,19,951,134,1,30,10.6875,15.4375,24.1041666667,0
44,12,987,222,2,63,25.3125,0.625,63.5625,0
72,7,873,232,4,62,14.625,8.4375,32.1458333333,0
8,15,3005,103,2,37,24.625,18.4375,53.9791666667,0
2,8,341,233,4,13,0.75,1.6875,3.85416666667,0
121,16,4579,219,1,3,8.375,23.0625,5.27083333333,0
117,13,6961,216,3,51,33.1875,40.8125,63.0833333333,0
19,3,833,85,1,12,10.875,20.5,6.95833333333,0
40,33,3769,84,3,48,30.75,37.8125,95.7916666667,0
1,4,767,57,2,4,3.25,13.5,9.27083333333,0
51,99,2884,90,1,43,36.3125,46.25,119.25,0
20,6,1071,116,2,27,2.1875,16.5,34.2083333333,0
7,9,771,76,4,3,1.6875,1.0625,11.5833333333,0
0,3,237,82,2,49,0.625,8.125,12.3333333333,0
6,8,518,86,0,13,0.3125,1.5,19.8541666667,0
1,61,1470,105,1,21,24.9375,5.75,35.875,0
8,49,1054,201,2,10,13.5,17.5,29.9583333333,0
7,2,444,210,4,98,5.5625,4.8125,6.375,0
22,15,284,220,4,65,8.3125,8.5,8.60416666667,0
53,37,2552,231,4,80,1.0,9.3125,5.27083333333,0
12,18,3563,169,0,85,19.625,26.0625,12.6875,0
47,33,3858,224,2,135,59.5625,40.4375,128.1875,0
76,13,4796,208,1,36,28.4375,32.8125,87.8541666667,0
6,1,1925,199,0,5,18.5625,34.1875,107.916666667,0
2,31,317,178,4,51,3.1875,1.5,5.33333333333,0
34,3,790,171,2,39,3.5,21.125,47.0416666667,0
29,7,715,172,0,36,17.3125,4.8125,38.25,0
37,18,160,164,1,31,1.125,0.25,11.9791666667,0
9,21,205,178,4,54,13.5625,9.1875,20.0833333333,0
28,29,492,179,4,42,26.125,1.75,26.8125,0
3,17,467,194,2,25,5.875,3.1875,18.5416666667,0
4,18,353,194,1,20,1.625,0.0625,2.54166666667,0
51,87,407,167,4,81,24.1875,37.125,94.2916666667,0
3,9,487,56,4,5,2.9375,0.1875,4.79166666667,0
0,6,372,60,0,17,6.5,5.5625,30.7291666667,0
44,2,2273,83,1,44,7.125,9.3125,33.875,0
7,18,460,119,0,0,0.8125,4.125,7.33333333333,0
6,3,262,74,0,48,11.6875,6.1875,14.9166666667,0
6,9,754,92,4,8,4.125,3.125,1.66666666667,0
11,31,3483,158,0,22,7.3125,36.5,79.0,0
29,3,925,142,0,55,7.125,7.25,6.35416666667,0
25,13,1600,145,0,75,18.0625,5.8125,13.3125,0
0,22,1776,161,0,51,7.5625,18.0,37.8125,0
16,1,2107,144,2,95,30.8125,8.3125,1.66666666667,0
0,7,850,48,0,72,17.0,20.4375,53.75,0
6,20,168,154,0,83,40.125,24.9375,94.1875,0
22,32,1722,149,0,82,11.5,2.75,14.75,0
4,2,1523,141,0,105,37.3125,40.875,78.4791666667,0
64,14,1760,172,3,53,32.6875,0.875,13.3125,0
2,37,3398,110,0,98,42.0625,55.375,106.520833333,0
40,19,4012,229,3,77,32.9375,52.5625,80.8125,0
2,51,1375,62,2,25,32.5625,26.5,71.8125,0
3,70,1176,141,3,1,11.1875,13.5625,57.8541666667,0
55,8,5360,223,3,46,18.125,11.375,0.395833333333,0
37,48,2844,142,2,111,48.0625,39.375,141.5625,0
10,50,1868,134,4,24,17.25,4.0,1.04166666667,0
34,69,3713,137,1,93,25.5625,24.125,48.7708333333,0
32,3,782,142,0,61,9.625,39.3125,44.7916666667,0
9,29,1616,191,0,40,29.125,19.6875,48.1458333333,0
6,26,505,34,0,19,8.6875,5.5625,11.625,0
7,23,21,149,0,23,1.0,4.5,17.8125,0
4,4,166,185,3,41,20.1875,2.8125,24.1666666667,0
8,50,2908,187,4,20,2.8125,11.8125,18.4791666667,0
4,18,1706,135,0,1,23.125,21.625,23.2291666667,0
7,11,631,103,0,23,13.125,5.0625,1.72916666667,0
138,4,3619,190,0,1,24.625,7.0,4.4375,0
6,55,7504,108,0,144,53.6875,47.25,139.916666667,0
25,14,3831,186,1,57,14.5625,21.0,45.8541666667,0
4,18,1620,188,4,151,22.625,47.625,124.0,0
3,3,1766,244,1,37,21.1875,2.1875,19.2916666667,0
57,32,2444,172,0,4,8.5,6.1875,18.7083333333,0
6,23,1105,106,0,3,2.9375,12.6875,23.9375,0
2,36,843,102,0,70,14.0,1.1875,14.4166666667,0
0,36,1041,176,0,12,0.6875,3.1875,1.83333333333,0
3,88,1285,237,0,56,17.75,39.8125,75.1875,0
6,3,2648,204,4,17,1.5,8.125,15.8541666667,0
9,4,372,160,0,34,10.625,8.5625,10.2291666667,0
14,46,1939,164,0,29,8.8125,10.5,3.97916666667,0
56,4,4049,248,2,29,21.4375,8.1875,17.2083333333,0
14,14,1545,93,4,20,5.5625,6.25,14.2916666667,0
53,2,5913,241,2,71,36.4375,23.125,40.3541666667,0
8,10,535,206,4,18,5.5625,8.875,34.9375,0
4,9,327,229,4,19,5.9375,19.5,14.5,0
2,8,182,142,1,19,1.0,8.4375,9.04166666667,0
7,22,754,165,0,32,12.5,8.0625,17.4583333333,0
18,10,2910,220,2,45,34.0,36.3125,90.1875,0
13,38,1245,193,0,38,14.25,13.3125,23.4791666667,0
11,11,65,207,2,35,14.25,20.1875,40.8125,0
35,6,2560,241,4,16,12.0625,9.5625,11.8125,0
2,102,6035,244,0,56,22.875,18.5625,64.7291666667,0
19,39,1984,122,3,30,10.5,15.875,43.9375,0
66,9,2689,188,0,16,9.25,1.6875,29.6875,0
8,5,665,98,0,3,5.0,5.4375,19.75,0
5,24,524,95,1,64,0.25,11.1875,4.52083333333,0
106,1,5118,195,4,41,25.5,26.8125,53.0,0
1,3,88,49,3,1,3.9375,6.9375,17.4791666667,0
1,19,794,103,1,7,15.1875,4.0625,73.4375,0
3,0,27,119,0,9,2.6875,5.4375,7.625,0
2,0,899,143,4,34,0.4375,6.375,19.0416666667,0
1,2,756,125,0,22,10.625,1.9375,19.3541666667,0
64,13,3963,137,0,10,3.3125,11.9375,38.3958333333,0
7,6,401,118,0,43,16.625,10.375,32.625,0
53,13,452,103,4,35,17.5,16.25,60.3958333333,0
52,10,125,103,2,10,3.5,9.375,11.9583333333,0
9,16,398,138,4,3,2.25,1.5,1.0,0
6,13,904,126,0,31,13.375,0.4375,1.52083333333,0
23,6,973,114,0,23,2.5625,3.1875,8.9375,0
18,11,475,100,4,19,1.75,2.0,7.25,0
1,12,1279,102,1,40,3.75,3.1875,25.7916666667,0
16,22,2283,91,0,66,15.0625,0.0625,36.3333333333,0
11,10,539,184,1,14,7.375,2.875,31.375,0
6,49,748,162,0,9,12.125,12.5625,43.5833333333,0
4,19,552,178,3,17,16.3125,7.4375,41.3958333333,0
8,44,835,164,1,12,31.6875,11.0,81.25,0
16,11,3275,211,4,95,30.5625,25.125,97.2083333333,0
48,43,441,220,0,78,6.9375,12.25,39.8958333333,0
34,41,2954,196,2,127,48.0625,9.625,64.3541666667,0
154,3,7397,252,0,46,20.5625,19.8125,29.4166666667,0
2,14,53,75,1,101,2.125,3.3125,14.75,0
229,1,12635,253,2,218,94.25,51.9375,178.395833333,0
11,89,3893,176,0,40,3.25,12.1875,25.25,0
25,0,1423,253,0,25,15.25,19.125,21.3541666667,0
1,13,230,61,0,54,13.25,2.625,25.7083333333,0
13,22,2383,70,0,28,2.625,16.5,30.0,0
21,2,525,244,2,15,1.9375,7.5625,8.0625,0
10,0,381,239,3,1,4.0625,8.6875,3.1875,0
3,1,169,242,4,18,4.6875,2.1875,17.3125,0
6,0,605,140,4,3,27.375,27.625,96.375,0
18,1,3969,244,2,47,8.625,2.0625,28.2083333333,0
11,2,197,246,3,7,1.1875,4.5,7.16666666667,0
1,0,29,181,0,22,16.25,46.1875,151.9375,0
29,10,613,206,4,77,26.5,11.1875,38.5625,0
76,7,1272,220,2,105,51.1875,23.3125,88.2083333333,0
12,12,591,223,0,26,0.6875,20.0625,11.875,0
13,7,2294,174,4,34,33.375,5.6875,56.0208333333,0
17,14,1154,202,0,67,23.8125,14.9375,66.2083333333,0
4,9,55,168,0,44,11.9375,1.0,40.4791666667,0
4,4,70,123,0,8,6.9375,6.6875,29.5625,0
58,14,4349,212,1,48,16.0,14.5,32.7916666667,0
13,6,1645,124,0,58,29.1875,10.375,98.2708333333,0
10,34,4601,207,0,42,1.4375,18.4375,25.2083333333,0
17,15,6529,159,0,49,9.0,13.75,2.875,0
39,2,3216,110,4,21,0.5,4.3125,6.04166666667,0
20,4,2674,247,0,11,5.875,0.8125,2.91666666667,0
4,33,4069,243,0,9,2.5,1.0625,29.0208333333,0
1,14,9,74,2,5,0.3125,1.625,1.52083333333,0
6,2,296,75,4,1,0.875,3.8125,3.47916666667,0
6,14,215,68,1,16,3.75,2.875,0.666666666667,0
5,11,634,58,1,39,11.0625,3.125,21.625,0
94,5,2486,200,3,19,2.1875,9.5625,38.75,0
151,10,2145,233,3,150,27.6875,3.875,33.5416666667,0
90,0,1016,234,0,49,6.8125,2.6875,52.0625,0
11,0,494,218,4,46,30.6875,18.9375,100.875,0
136,3,5835,215,0,79,2.8125,0.3125,15.0416666667,0
50,4,2858,205,1,14,20.875,17.625,58.1666666667,0
17,9,1234,185,3,1,0.125,8.75,13.8958333333,0
14,40,890,178,0,106,32.5625,32.875,72.8125,0
16,65,890,143,0,13,7.6875,5.4375,23.375,0
84,54,8081,203,0,12,12.8125,24.0625,16.875,0
0,45,99,195,3,27,13.0,22.375,3.97916666667,0
2,42,7134,184,0,120,37.0,38.5625,114.208333333,0
4,1,1917,208,0,26,10.4375,5.0625,7.58333333333,0
5,83,3744,171,4,21,7.1875,10.0,34.8541666667,0
16,76,4120,177,4,3,17.3125,2.8125,4.33333333333,0
9,22,1224,247,0,67,21.5,36.0,84.0625,0
11,116,4095,205,0,18,14.375,7.5625,26.5,0
18,0,587,112,1,76,14.375,27.75,55.8541666667,0
73,13,3744,213,0,29,2.875,18.9375,3.6875,0
27,27,2168,140,1,26,22.9375,6.5625,50.2291666667,0
18,54,4374,226,0,3,5.125,5.25,6.625,0
2,40,1505,79,0,26,11.625,12.125,39.2083333333,0
8,8,450,99,4,0,4.9375,0.25,10.875,0
14,94,2743,132,4,76,16.9375,18.4375,43.9166666667,0
22,9,3146,142,4,3,6.125,0.6875,0.604166666667,0
12,43,2625,152,0,31,5.1875,2.0625,5.16666666667,0
3,51,2688,159,0,13,8.875,9.625,23.5416666667,0
10,0,289,121,1,7,3.3125,3.8125,7.27083333333,0
28,1,1439,225,4,36,14.375,6.6875,42.2708333333,0
5,88,1215,167,1,49,10.25,7.8125,20.7291666667,0
17,17,236,218,4,38,15.3125,25.75,50.4583333333,0
22,55,631,126,0,30,12.125,7.1875,42.2291666667,0
4,6,385,121,0,5,3.0,3.0,5.5625,0
5,5,406,117,0,7,3.8125,3.125,7.70833333333,0
2,8,482,116,4,6,3.5,2.8125,7.1875,0
8,1,217,120,0,0,0.0,0.5,0.895833333333,0
1,0,24,122,2,1,0.125,0.0625,0.270833333333,0
3,2,133,121,0,1,0.625,0.9375,1.54166666667,0
1,1,155,119,0,3,1.5625,0.9375,3.08333333333,0
1,0,124,120,4,1,0.0,0.8125,0.770833333333,0
3,2,171,119,1,1,0.5,1.125,1.375,0
6,8,552,119,4,10,4.1875,2.5,0.958333333333,0
67,100,70,157,4,61,30.5625,21.75,44.6458333333,0
0,10,1131,50,0,22,14.0625,11.375,39.2708333333,0
28,24,2417,206,4,35,21.75,28.5625,55.7083333333,0
69,92,1029,128,0,72,43.4375,24.375,73.6666666667,0
6,6,477,123,0,14,22.3125,13.625,40.8541666667,0
5,6,529,117,0,9,4.875,4.3125,9.16666666667,0
3,4,463,116,4,6,3.125,2.875,6.97916666667,0
75,40,7225,214,4,6,9.25,1.1875,0.0416666666667,0
67,7,3965,244,0,25,17.3125,22.25,50.8541666667,0
43,52,6734,218,0,39,5.3125,8.8125,15.4583333333,0
6,82,1095,177,0,5,11.5625,9.375,19.7916666667,0
5,1,313,117,0,51,16.25,20.9375,48.7708333333,0
4,12,1018,111,1,6,7.0,1.5625,2.97916666667,0
42,13,3262,240,1,2,34.4375,14.4375,93.9583333333,0
44,13,2441,224,2,9,10.4375,0.1875,12.0625,0
37,21,3196,144,1,18,3.75,16.625,7.8125,0
16,32,3709,211,2,5,3.125,0.1875,8.75,0
25,61,5052,122,0,48,6.875,13.9375,13.5833333333,0
0,12,840,77,0,27,1.125,0.875,0.3125,0
3,26,117,95,4,4,3.125,1.5,2.95833333333,0
13,2,190,107,4,6,2.875,9.8125,17.0625,0
6,73,2199,129,0,68,25.4375,21.4375,50.3125,0
15,27,3032,135,4,19,7.3125,5.875,27.3958333333,0
17,19,338,150,3,9,6.25,0.1875,0.708333333333,0
17,46,2346,152,4,27,5.5625,5.4375,6.41666666667,0
12,26,2430,153,0,2,4.5625,5.1875,7.8125,0
9,22,938,112,2,13,7.125,7.875,21.8958333333,0
8,1,988,125,4,7,3.125,3.125,6.72916666667,0
2,0,702,126,1,2,1.75,2.25,9.875,0
39,0,1954,170,3,34,3.1875,0.0625,32.25,0
30,66,1462,183,2,1,2.0625,4.75,27.5833333333,0
24,10,263,190,3,26,22.0,5.875,54.75,0
35,61,287,193,1,19,4.375,3.25,19.4583333333,0
4,4,259,127,0,4,1.25,3.25,18.8333333333,0
3,4,287,123,1,5,2.5,2.1875,5.29166666667,0
4,3,243,120,4,4,1.875,2.125,4.04166666667,0
4,5,312,116,0,5,2.5625,2.375,4.27083333333,0
1,7,345,113,3,4,2.5,1.625,4.47916666667,0
8,3,355,121,2,3,1.6875,2.0625,3.04166666667,0
0,1,39,121,0,3,0.375,0.0,0.645833333333,0
0,0,29,122,0,0,0.1875,0.125,0.833333333333,0
0,1,36,122,4,0,0.375,0.5,0.979166666667,0
3,4,214,122,2,1,0.6875,0.625,0.729166666667,0
1,0,85,119,0,0,0.9375,0.75,2.02083333333,0
2,0,115,120,3,2,1.1875,0.625,3.0625,0
1,1,7,121,4,0,0.375,0.1875,1.22916666667,0
2,2,220,120,0,2,1.0,1.125,2.625,0
7,4,498,118,4,6,3.5,3.375,8.39583333333,0
3,96,969,120,4,6,2.8125,0.75,2.39583333333,0
44,108,1378,240,3,57,26.0625,11.625,46.4791666667,0
6,22,717,196,2,24,4.9375,12.375,19.875,0
5,21,161,214,0,1,14.25,9.3125,34.8125,0
47,15,88,215,3,79,32.9375,31.9375,70.0416666667,0
2,113,1224,126,0,5,1.5,17.625,25.9166666667,0
2,4,339,123,0,6,2.6875,2.6875,5.66666666667,0
7,3,301,119,0,1,2.125,2.5,4.8125,0
4,4,416,115,0,5,3.1875,2.625,6.8125,0
0,5,297,111,4,7,3.0625,2.25,7.66666666667,0
